"street1","street2","decision"
"#8","A","0"
"#2","A","0"
"#1","A","0"
"APT. I","ANTRIM","0"
"APT. B","ANTRIM","0"
"APT. C","ANTRIM","0"
"#3","A","0"
"#306","SWAN","0"
"#201","SWAN","0"
"#105","SWAN","0"
"#B1","B","0"
"#401","SWAN","0"
"#32","NAY","0"
"#D","D","0"
"#A","A","0"
"#C","C","0"
"#E","E","0"
"BASEMENT","BREMEN","0"
"APT.","ALNA","0"
"UNIT","UNITY","0"
"APT. #4","ANTRIM","0"
"APT. #5","ANTRIM","0"
"APT.#8","ANTRIM","0"
"APT. #B1","ANTRIM","0"
"APT. #19","ANTRIM","0"
"#6-1","SWAN","0"
"#2-3","SWAN","0"
"#5-3","SWAN","0"
"#203","SWAN","0"
"#211","SWAN","0"
"#9","A","0"
"#19","NAY","0"
"A/K/A ANTH","PLEASANT","0"
"APT. SEVENTH WEST","EAST SEVENTH","1"
"APT FIRST WEST","EAST FIRST","0"
"APT 10 WEST","ALTACREST","0"
"#1 CENTER","CENTER","1"
"#7","A","0"
"#24","NAY","0"
"#21","NAY","0"
"#10","NAY","0"
"#27","NAY","0"
"APT. #773","ANTRIM","0"
"APT. #2574","EAST EAGLE","0"
"APT. #128","ANTRIM","0"
"APT. #793","ANTRIM","0"
"#1003","EAGLE","0"
"APT. #619","ANTRIM","0"
"#231","SWAN","0"
"#374","SWAN","0"
"#868","SWAN","0"
"#152","SWAN","0"
"#55","NAY","0"
"#259","SWAN","0"
"#1072","EAGLE","0"
"#2070","EAGLE","0"
"#6078","EAGLE","0"
"#15","NAY","0"
"#2 (FRONT)","FROST","0"
"#202","SWAN","0"
"#302","SWAN","0"
"#210","SWAN","0"
"#310","SWAN","0"
"#409","SWAN","0"
"UNIT #3","UNITY","0"
"#2R","AYR","0"
"#2A","A","0"
"#53","NAY","0"
"APT. #2","ANTRIM","0"
"ROOM #5","GROOM","0"
"APT. #3","ANTRIM","0"
"#D6","D","0"
"#17","NAY","0"
"#3R","AYR","0"
"#3K","OAK","0"
"#1A","A","0"
"#2K","OAK","0"
"#3B","B","0"
"#6M","ELM","0"
"#3A","A","0"
"#304","SWAN","0"
"#504","SWAN","0"
"#F","F","0"
"#13","NAY","0"
"UNIT #2","UNITY","0"
"APT. FIRST WEST","EAST FIRST","0"
"APT. THIRD WEST","EAST THIRD","0"
"APT. SECOND WEST","EAST SECOND","0"
"#22","NAY","0"
"UNIT SECOND","WEST SECOND","0"
"FIRST FLOOR","FIRST","0"
"UNIT E","UNITY","0"
"#155","SWAN","0"
"#101","SWAN","0"
"#245","SWAN","0"
"#28","NAY","0"
"APT. #11","ANTRIM","0"
"FATHER JACOBEE","FATHER SONGIN","0"
"HYDE","LYNE","0"
"DEGAUTIER","DEGAUTHIER","1"
"TIBBETSTOWN","TIBBETTS TOWN","1"
"BIERNE","OBIERNE","1"
"MALCOLM X","MALCOLM","1"
"1/2 G","LONG","0"
"CALLAGHAN","CALLAHAN","1"
"MSGR. REYNOLDS","MONSIGNOR REYNOLDS","1"
"BRIEN","OBRIEN","0"
"MM BEATTY","MALBERT","0"
"REILLY","OREILLY","0"
"CLIPPERSHIP","CLIPPER SHIP","1"
"MORTON VILLAGE","MORTON VILLIAGE","1"
"HARBOUR POINT","HARBOR POINT","1"
"GOVE ST, AKA 48 FRANKFORT SAINT AKA 141 ORLEANS ST","VETERANS OF FOREIGN WARS","0"
"ARULA","TRULL","0"
"POND VIEW","PONDVIEW","1"
"MEARA","OMEARA","1"
"DELESSIO","DALESSIO","1"
"MONSIGNOR LYDON","MONSIGNOR REYNOLDS","0"
"CENTER","CENTRE","1"
"ELWIN","ELWYN","1"
"1/2 CENTRE","OLD CENTRE","0"
"M.M.BEATTY","MALBERT","0"
"BRANNON  HARRIS","BRANNON HARRIS","1"
"LOUIS D. BROWN","LOUIS PRANG","0"
"GENERAL DEVINE","MADELINE","0"
"BOTOLPH","BOSTONIA","0"
"A WESTVIEW","WESTVIEW","1"
"EASTBROOK","WESTBROOK","0"
"CHARLESGATE WEST","CHARLESGATE W","1"
"VESTER","HESTER","0"
"D WESTVIEW","WESTVIEW","1"
"LINSKEY BARRY","LINSKY BARRY","1"
"HARRISON ARCHWAYS","HARRISON ARCHWAY","1"
"CROWNE POINT","CROWN POINT","1"
"HORADON","HORADAN","1"
"BAKER&#039;S","BAKERS ALY","1"
"M.M. BEATTY","MALBERT","0"
"SENATOR BOLLING","SENTRY HILL","0"
"MARLBORO","MALBERT","0"
"MISSION OARJ","MISSION PARK","0"
"WHITNEY","WHITE","0"
"ABBOTT","ABBOT","1"
"JOYCE TURNPIKE 6079 SOUTH","SOJOURNER TRUTH","0"
"FANUIEL","FANEUIL","1"
"D AMES","JAMES","0"
"TURQOUISE","TURQUOISE","1"
"MARAGRETTA","MARGARETTA","1"
"A MSGR. REYNOLDS","MONSIGNOR REYNOLDS","1"
"SAINT RICHARDS","SAINT RICHARD","1"
"MORTON STREET/ NINTH WEST SELDON","REV ROBERT M COSTELLO","0"
"CARMONDY","CARMODY","1"
"WALCOTT","ALCOTT","1"
"MONSIGNOR LYNDON","MONSIGNOR REYNOLDS","0"
"H AMES","HOLMES","0"
"FENO","FENNO","1"
"MADISON PARK","UNION PARK","0"
"PARKER HILL 170-43","PARKER HILL","1"
"COMMONWEALTH UNIT 12","COMMONWEALTH","1"
"HOWARD; HOWARD","SAINT EDWARD","0"
"MAGNOLLIA","MAGNOLIA","1"
"GREEHEYS","GREENHEYS","1"
"WALNUT PARK NINTH","SAINT MARTIN","0"
"SEVENTH","SEVER","0"
"FENWAY 52","FENWAY","1"
"O&#039;BRIEN","ORIENT","1"
"STAR KING","STRONG","0"
"CARONA","CORONA","1"
"LANMEK","LANARK","0"
"LIGHTOW","LITHGOW","1"
"PIER FOUR","PIERPONT","0"
"MIDDLESEX","MIDDLE","0"
"OLD RUTHERFORD","RUTHERFORD","0"
"ANNUMCIATION","ANNUNCIATION","1"
"SCHULER","SCHUYLER","1"
"TELFORD","DELFORD","0"
"EAST BERKELY","EAST BERKELEY","1"
"TIBBETTSTOWN","TILESTON","0"
"MARY BOYLE","MARYKNOLL","0"
"MORRTON VILLAGE","MORTON VILLAGE","1"
"V.F.W.","VFW","1"
"WINDOR","WINDSOR","1"
"O&#039;REILLY","WM C KELLY","0"
"O&#039;BIERNE","ORIENT","0"
"WASHONGTON","WASHINGTON","1"
"REVEREND BURKE","REVERE","0"
"B GREW","GREW","1"
"LEWIS MALL","LEWIS WH","0"
"WAUMBACK","WAUMBECK","1"
"SHANON","SHANDON","0"
"FIDELIS WAY","FIDELIS WA","1"
"O&#039;CALLAGHAN","ALLEGHANY","0"
"GLENVILLE AVE","GLENVILLE","1"
"GEORGETOWNE DRIVE","GEORGETOWNE","1"
"A MELROSE","MELROSE","1"
"DRUMMONS","DRUMMOND","1"
"CROWN POIN","BROWNSON","0"
"PAYCON","PAYSON","1"
"MOPONSET","MONPONSET","1"
"CALLANDER","CALLENDER","1"
"GENERAL JOZEF PILSUDSKI","GEN JOZEF PILSUDSKI","1"
"SANDPIPER","FAN PIER","0"
"SCHULYER","SCHUYLER","1"
"CRISPUS ATTACKS","CRISPUS ATTUCKS","1"
"EDGMERE","EDGEMERE","1"
"RABGLEY","RANGELEY","1"
"FAYSON","PAYSON","0"
"MISSION PARK","UNION PARK","0"
"LARMATINE","LAMARTINE","1"
"TIBBITSTOWN","TILESTON","0"
"DUSTABLE","CASTLE","0"
"PENINSULA","PERKINS","0"
"B WEST SPRINGFIELD","WEST SPRINGFIELD","1"
"OSPREY","ASHLEY","0"
"HASEY","HALEY","0"
"EERIE","ERIE","1"
"MICHELANGO","MICHELANGELO","1"
"PATTESON","PATTERSON","1"
"JAMES O&#039;NEILL","JAMES ONEILL","1"
"XINEO","KINEO","1"
"HAMBOLDT","HUMBOLDT","1"
"HARBOR CREST","ARBORCREST","0"
"MAGNOLIA STREET","SALEM STREET","0"
"BISHOP  JOE L. SMITH","BISHOP JOE L SMITH","1"
"BISHOP JOE L.SMITH","BISHOP JOE L SMITH","1"
"PETERBOROUG","PETERBOROUGH","1"
"ADARONDACK","ADIRONDACK","1"
"O&#039;MEARA","OAKMERE","0"
"BLUEHILL","BLUE HILL","1"
"RADCLIFF","RADCLIFFE","1"
"/2 EAST FIFTH","EAST FIFTH","1"
"STAFFORD STREET FIRST &AMP; BSMT","SHORT STREET","0"
"NOFOLK","NORFOLK","1"
"TAFTS","TAFT","1"
"ROCKINGHAM GLEN 4202 WEST","ROCKINGHAM","1"
"LANDON","LONDON","0"
"ARMADINE","ARMANDINE","1"
"J NORFOLK","NORFOLK","1"
"L NORFOLK","NORFOLK","1"
"WEST MINSTER","WESTMINSTER","1"
"LAMATRINE","LAMARTINE","1"
"GREEM","GREEN","1"
"HARISHOFF","HARRISHOF","1"
"MSR. REYNOLDS","MSGR REYNOLDS","1"
"C VILLAGE","SAVILLE","0"
"MOUNT BOWDOIN GREEN","MOUNT BOWDOIN","1"
"ODGEN","OGDEN","1"
"HUMPHREY","HUMPHREYS","1"
"BOYSTON","BOYLSTON","1"
"TURQOISE","CURTIS","0"
"IROQUIS","IROQUOIS","1"
"GREENHAYES","GREENHEYS","1"
"A BAKER","BAKER","1"
"SAINT STEPEHNS","SAINT STEPHEN","1"
"JOSEPH AGRI","JOSEPHINE","0"
"MERIDAN","MERIDIAN","1"
"CRWON POINT","CITY POINT","0"
"LOTNE","LORNE","1"
"BROOKLDEGE","BROOKLEDGE","1"
"FARRADY","FARRAR","0"
"HOLBURN","HOLBORN","1"
"WILLOWOOD","WILLOWWOOD","1"
"MELBOURNE STREET","FOURTH STREET","0"
"LARMARTINE","LAMARTINE","1"
"ALSAKA","ALASKA","1"
"HARVE","HAVRE","1"
"GENERAL JOEF PILSUDSKI","GEN JOZEF PILSUDSKI","1"
"CLEAVEMONT","CLEVEMONT","1"
"MERSCER","MERCER","1"
"HEMINGWAY","HEMENWAY","0"
"PARSON","PAYSON","0"
"PEACVALE","PEACEVALE","1"
"A CIRCUIT","CIRCUIT","1"
"ST.BOTOLPH","SAINT BOTOLPH","1"
"ELLILNGTON","ELLINGTON","1"
"PUTMAN","PUTNAM","1"
"BOOKSIDE","BROOKSIDE","1"
"MSGR PATRICK J. LYNDON","MSGR PATRICK J LYDON","1"
"PARTNERSHIP","PATTERSON","0"
"GATEWAY","CAUSEWAY","0"
"CARNET","GARNET","1"
"B. WEST BROADWAY","WEST BROADWAY","1"
"B BERNARD","BERNARD","1"
"SONONMA","SONOMA","1"
"SAINT CASMIR","SAINT MARTIN","0"
"MT.IDA","MAIDA","0"
"EDISON","EDSON","1"
"EAST SEVETH","EAST SEVENTH","1"
"ROCKINGHAM GLEN 4512 WEST","ROCKINGHAM","1"
"SOUTH CHALAME","SOUTH CHARLAME","1"
"PETERBOOUGH","PETERBOROUGH","1"
